session_id,session_z,hits,first_at_trial,at_count,t1_thinking_chars,mean_t2plus_thinking_chars,mean_stmt_chars,ats_total,ats_section_a,ats_section_b,ranking_rho,s1_rankings_valid,s2_rankings_valid,irr_pct_agreement,irr_kappa,B3_probe_q9,probe_length,depth_L3_count,batch_id_scored
20260322_165647_CA_FORMAL,1.2854,8,2,9,164,38.2,171.5,14,8,6,-0.7509,True,True,0.5555555555555556,0.2941176470588236,2,4037,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_165827_CA_FORMAL,1.4733,7,4,6,162,66.1,253.9,12,6,6,0.0275,True,True,0.7777777777777778,0.5909090909090909,2,4868,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170010_CA_FORMAL,-0.8485,3,3,8,223,67.2,166.1,11,5,6,-0.7333,True,True,0.8888888888888888,0.7857142857142856,2,4204,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170141_CA_FORMAL,1.5311,7,3,8,230,51.6,211.1,12,6,6,-0.2988,True,True,1.0,1.0,2,4003,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170314_CA_FORMAL,1.0073,6,2,9,156,25.6,204.8,12,6,6,-0.1277,True,True,0.8888888888888888,0.7999999999999999,2,3093,7,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170442_CA_FORMAL,1.0621,6,3,4,234,92.4,209.8,12,6,6,0.2689,True,True,1.0,1.0,2,3104,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170614_CA_FORMAL,-0.249,4,2,9,111,28.3,186.4,11,5,6,0.0851,True,True,1.0,1.0,2,3913,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170745_CA_FORMAL,0.1849,6,2,9,208,23.0,144.0,14,8,6,0.1108,True,True,0.7777777777777778,0.55,2,3635,9,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_170911_CA_FORMAL,0.2259,6,3,5,168,52.6,160.4,11,5,6,0.0,True,True,0.8888888888888888,0.7857142857142856,2,3960,6,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
20260322_171043_CA_FORMAL,-0.8216,4,2,9,206,35.9,216.8,16,10,6,-0.0183,True,True,0.6666666666666666,0.30769230769230765,2,3015,10,msgbatch_01BUfs2fh8XYBwY6RuyExSHV
